,lat,long
18:26:46:30,44.43493300338001,26.047821907766807
18:26:47:30,44.43493300337932,26.0478345024967
18:26:48:10,44.43493300337862,26.04784709722659
18:26:49:00,44.43493300337793,26.047859691956482
18:26:49:80,44.43493300337723,26.047872286686374
18:26:50:90,44.43493300337654,26.047884881416262
18:26:51:70,44.434937499984564,26.047884881416262
18:26:55:20,44.434937499983874,26.047897476147124
18:26:56:30,44.4349374999837,26.047903773512555
18:26:58:60,44.43492850676764,26.047903773512555
18:26:59:40,44.43491951355158,26.047903773512555
18:27:00:50,44.434910520335514,26.047903773512555
18:27:01:30,44.43490152711945,26.047903773512555
18:27:02:20,44.43489253390339,26.047903773512555
18:27:02:90,44.43488354068732,26.047903773512555
18:27:03:90,44.43487454747127,26.047903773512555
18:27:04:70,44.43487454747057,26.047916368229846
18:27:05:50,44.434874547469875,26.04792896294714
18:27:06:40,44.43488354068524,26.04794155766443
18:27:07:30,44.4348925339013,26.04794155766443
18:27:08:20,44.43490152711736,26.04794155766443
18:27:09:00,44.43491052033342,26.04794155766443
18:27:09:90,44.434919513549474,26.04794155766443
18:27:10:80,44.43492850676553,26.04794155766443
18:27:11:80,44.43493749998159,26.04794155766443
18:27:12:40,44.43493749998141,26.047935260299
18:27:13:40,44.43493749998072,26.04792266556814
18:27:14:20,44.43493749998003,26.04791007083728
18:27:14:80,44.43493749997985,26.047903773471848
18:27:16:00,44.434937499979675,26.04789747610642
18:27:19:90,44.43493749997898,26.047884881375563
18:27:20:70,44.43494199658701,26.047884881375563
18:27:21:60,44.43494199658631,26.04787228664373
18:27:22:50,44.43494199658562,26.0478596919119
18:27:23:40,44.434941996584925,26.04784709718007
18:27:24:30,44.43494199658423,26.04783450244824
18:27:25:10,44.43494199658353,26.047821907716408
18:27:25:90,44.43494199658284,26.04780931298458
18:27:26:70,44.434941996582154,26.047796718252748
18:27:27:60,44.43494199658146,26.047784123520916
18:27:28:10,44.43494199658128,26.047777826155002
18:27:28:60,44.4349419965811,26.04777152878909
18:27:29:30,44.43494199658041,26.047758934057264
18:27:29:80,44.434941996580235,26.04775263669135
18:27:30:20,44.43494199658006,26.047746339325435
18:27:30:60,44.43494199657988,26.04774004195952
18:27:31:00,44.4349419965797,26.047733744593607
18:27:31:80,44.43494199657901,26.047721149861776
18:27:32:70,44.434941996578324,26.047708555129947
18:27:33:50,44.43494199657763,26.047695960398116
18:27:34:30,44.43493749996959,26.047695960398116
18:27:35:60,44.434937499968896,26.047683365667254
18:27:37:10,44.43493749996872,26.047677068301827
18:27:41:00,44.43493749996802,26.04766447357097
18:27:41:80,44.434937499967326,26.047651878840107
18:27:42:70,44.43493749996664,26.04763928410925
18:27:43:70,44.43493749996595,26.04762668937839
18:27:44:60,44.43493749996525,26.04761409464753
18:27:45:70,44.43493749996456,26.04760149991667
19:07:58:50,44.4349375,26.0476015
19:07:59:60,44.43493749999931,26.04761409473086
19:08:00:50,44.43493749999862,26.04762668946172
19:08:01:30,44.434937499997915,26.04763928419258
19:08:02:20,44.434937499997226,26.047651878923443
19:08:02:90,44.43493749999653,26.047664473654304
19:08:05:80,44.43493749999584,26.047677068385166
19:08:06:90,44.43493749999566,26.047683365750597
19:08:08:90,44.434928506779606,26.0476833657506
19:08:09:80,44.43491951356354,26.0476833657506
19:08:10:60,44.43491052034748,26.0476833657506
19:08:11:40,44.43490152713142,26.0476833657506
19:08:12:20,44.43489253391536,26.0476833657506
19:08:13:10,44.4348835406993,26.0476833657506
19:08:14:00,44.43487454748325,26.0476833657506
19:08:15:20,44.43487454748256,26.047695960467895
19:08:16:10,44.43488354069862,26.047695960467895
19:08:16:90,44.43489253391467,26.047695960467895
19:08:17:80,44.434901527130734,26.047695960467895
19:08:18:60,44.434910520346804,26.047695960467895
19:08:19:30,44.43491951356285,26.047695960467895
19:08:20:30,44.43492850677892,26.047695960467895
19:08:20:60,44.43493300338694,26.047695960467895
19:08:21:30,44.43493300338625,26.047708555197786
19:08:22:00,44.43493300338555,26.04772114992768
19:08:22:80,44.43493300338486,26.04773374465757
19:08:23:60,44.434933003384174,26.047746339387462
19:08:24:40,44.43493300338348,26.047758934117354
19:08:25:20,44.43493300338278,26.047771528847246
19:08:26:00,44.434933003382085,26.047784123577138
19:08:26:80,44.434933003381396,26.047796718307026
19:08:27:60,44.434933003380706,26.047809313036918
19:08:28:40,44.43493300338001,26.047821907766807
19:08:29:10,44.43493300337932,26.0478345024967
19:08:30:00,44.43493300337862,26.04784709722659
19:08:30:70,44.43493300337793,26.047859691956482
19:08:31:40,44.43493300337723,26.047872286686374
19:08:32:40,44.43493300337654,26.047884881416262
19:08:33:10,44.434937499984564,26.047884881416262
19:08:36:20,44.434937499983874,26.047897476147124
19:08:37:20,44.4349374999837,26.047903773512555
19:08:39:50,44.43492850676764,26.047903773512555
19:08:40:40,44.43491951355158,26.047903773512555
19:08:41:20,44.434910520335514,26.047903773512555
19:08:41:90,44.43490152711945,26.047903773512555
19:08:42:70,44.43489253390339,26.047903773512555
19:08:43:70,44.43488354068732,26.047903773512555
19:08:44:60,44.43487454747127,26.047903773512555
19:08:45:60,44.43487454747057,26.047916368229846
19:08:46:40,44.434874547469875,26.04792896294714
19:08:47:40,44.434874547469185,26.04794155766443
19:08:48:50,44.43488354068524,26.04794155766443
19:08:49:40,44.4348925339013,26.04794155766443
19:08:50:20,44.43490152711736,26.04794155766443
19:08:51:10,44.43491052033342,26.04794155766443
19:08:51:80,44.434919513549474,26.04794155766443
19:08:52:90,44.43492850676553,26.04794155766443
19:08:54:00,44.43493749998159,26.04794155766443
19:08:54:70,44.43493749998141,26.047935260299
19:08:55:80,44.43493749998072,26.04792266556814
19:08:56:70,44.43493749998003,26.04791007083728
19:08:57:30,44.43493749997985,26.047903773471848
19:08:58:70,44.434937499979675,26.04789747610642
19:09:02:40,44.43493749997898,26.047884881375563
19:09:03:10,44.43494199658701,26.047884881375563
19:09:04:00,44.43494199658631,26.04787228664373
19:09:04:70,44.43494199658562,26.0478596919119
19:09:05:40,44.434941996584925,26.04784709718007
19:09:06:30,44.43494199658423,26.04783450244824
19:09:07:10,44.43494199658353,26.047821907716408
19:09:08:10,44.43494199658284,26.04780931298458
19:09:08:90,44.434941996582154,26.047796718252748
19:09:09:80,44.43494199658146,26.047784123520916
19:09:10:10,44.43494199658128,26.047777826155002
19:09:10:70,44.4349419965811,26.04777152878909
19:09:11:40,44.43494199658041,26.047758934057264
19:09:11:80,44.434941996580235,26.04775263669135
19:09:12:30,44.43494199658006,26.047746339325435
19:09:12:80,44.43494199657988,26.04774004195952
19:09:13:10,44.4349419965797,26.047733744593607
19:09:14:00,44.43494199657901,26.047721149861776
19:09:14:70,44.434941996578324,26.047708555129947
19:09:15:60,44.43494199657763,26.047695960398116
19:09:16:60,44.43493749996959,26.047695960398116
19:09:17:70,44.434937499968896,26.047683365667254
19:09:18:70,44.43493749996872,26.047677068301827
19:09:22:40,44.43493749996802,26.04766447357097
19:09:23:40,44.434937499967326,26.047651878840107
19:09:24:20,44.43493749996664,26.04763928410925
19:09:25:10,44.43493749996595,26.04762668937839
19:09:26:00,44.43493749996525,26.04761409464753
19:09:27:20,44.43493749996456,26.04760149991667
